user_pseudo_id,install_date,country_code,ab_test_group,is_ret_target,active_days_count,ltv_ad_accum,ltv_iap_accum,ltv_rw_accum,ltv_is_accum,is_imp_accum,rw_imp_accum,lv_s_accum,lv_e_accum,reach_lv10_target
2934E0305AAB41BA81095CC77B1B2698,2026-06-07,US,0,1,1,0.316415872,0,0,0.282773895,1,0,15,15,1
CF9F1A8101344C7B9014531BC6649C5D,2026-06-10,US,1,0,0,0,0,0,0,0,0,1,1,0
1D3BA5DD7213452DAD610E8FCD31B7AA,2026-06-05,US,1,0,0,0.023701574,0,0,0,0,0,6,5,0
B4AB2FCD7B4E4C2881E0F7C6ABE2AB5B,2026-06-12,US,0,0,0,0.915419056,0,0.897430664,0,0,2,6,6,0
E77DE2AC8B744B5F8BD22F7AFCDAEC02,2026-06-06,DE,0,0,0,0.866998397,0,0.291636047,0.568994369,2,1,17,17,1
8F155C1F2C4D4D74BB3AC8E110585344,2026-06-12,US,1,1,1,4.670595441,0,0.7870833,3.800022734,16,1,31,31,1
87FA6E3DB42940BE86798C96AC1468C6,2026-06-08,CA,0,0,0,0.050511866,0,0,0,0,0,5,5,0
519A1CCE629B4441A85228B39BA4CE56,2026-06-07,EG,0,1,1,0.0000406,0,0,0,0,0,3,2,0
1C1C65E3A3F14016817FEA36B3409C03,2026-06-07,FR,1,1,1,0.060296873,0,0.043849716,0,0,1,18,17,1
45462AA8DBA34D328A99DADBD348DD2B,2026-06-08,US,1,0,0,0.16173197,0,0,0.146157425,1,0,15,15,1
FDFD939680B245D19A36CF25982C2EC3,2026-06-06,MX,1,1,1,0.317627188,0,0.1065417,0.198566605,2,1,19,19,1
7479D6E4B6D0438D81E2BB1FB42027F0,2026-06-08,US,0,1,1,0.638178565,0,0,0.603257197,37,0,53,53,1
2EE1BDC2A57C4CC9BAED49D8E71B0D89,2026-06-09,AU,1,1,1,0.081586839,0,0,0,0,0,17,17,1
9FC8CD98AF1E4824A3B306AC5DA8D644,2026-06-09,US,0,0,0,0.028014768,0,0,0,0,0,9,9,0
9F67CB215938410A871F66DE3FDA0E47,2026-06-06,BR,1,0,0,0.028031015,0,0.026671115,0,0,1,5,5,0
3E99929E94BE40A09D17E5583BC27399,2026-06-06,NZ,1,0,0,0.001329069,0,0,0,0,0,4,3,0
3ECB50A48AAA4848962C3598061CF015,2026-06-11,EG,1,0,0,0.010867465,0,0.010063583,0,0,1,16,16,1
