level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
11,2111,0.77,0.761,1.02,0.9749,0.9943,0.9909,0.0217,5,1,5,1,0.0009,11.47,1.5063,0.6572,0.166,0,0.0007,0.0007,4,4,0.0483,0.0112,0,0,0,0,0,0,0,0,34595,11,11,15,21,16.25,0,6,25,8.81,0.0223,187,170,49,230,154,80,56,87,48,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,2,0,0,0,0,4,0,9,5,0.0,0.0,0.0,0.0,0.0019,0.0,0.0043,0.0024
12,2096,0.765,0.7556,1.03,0.9647,0.9885,0.9826,0.0283,8,2,9,2,0.0094,34.49,3.2358,1.7749,0.007,0,0.0015,0.0015,12,1,0.0526,0.0115,0,0,1,0,0,0,1,0,77840,31,31,38,47,37.04,0,27,45,17.15,0.0243,185,168,49,226,154,79,56,88,49,4,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,0,0,2085,2,0,6,2123,24,7,0.0,0.9948,0.001,0.0,0.0029,1.0129,0.0115,0.0033
13,2063,0.7541,0.7437,1.03,0.9685,0.9922,0.9819,0.0288,10,4,10,4,0.0,12.16,1.965,0.4527,0,0,0.001,0.001,6,0,0.0548,0.0115,0,0,0,0,0,0,0,0,41966,15,15,21,28,19.85,0,14,42,21.93,0.0242,183,166,49,223,149,77,56,86,47,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,11,8,7,0.0,0.0,0.0,0.0,0.0015,0.0053,0.0039,0.0034
14,2039,0.7444,0.735,1.11,0.9137,0.9828,0.978,0.1023,9,11,9,12,0.0031,49.34,14.9779,13.5519,0,0,0.0073,0.0073,63,0,0.0775,0.0115,0,0,0,0,0,0,0,0,93472,34,35,44,58,42.87,26,39,52,32.24,0.0721,182,164,47,220,146,76,56,87,47,8,3,5,4,10,2,5,1,0,0,0,0,0,0,0,0,0,0,11,15,0,0,5,2,0,2,13,36,28,11,0.0025,0.001,0.0,0.001,0.0064,0.0177,0.0137,0.0054
15,1996,0.7286,0.7195,1.03,0.9664,0.9905,0.7557,0.0281,204,3,207,3,0.0,17.55,185.8683,0.4761,184.8015,0,0.0931,0.0931,9,1771,0.0807,0.65,0,0,0,0,0,0,0,0,39734,14,14,18,25,19.78,1,9,20,6.05,0.0296,181,161,47,215,140,74,51,88,47,1,0,2,1,0,0,0,0,0,171,155,43,182,122,57,52,85,45,3,1,367,539,0,0,0,0,2,1,7,3,0.0,0.0,0.0,0.0,0.001,0.0005,0.0035,0.0015
16,1754,0.6467,0.6323,1.15,0.8888,0.9749,0.8175,0.1352,114,24,119,25,0.001,41.53,150.947,5.0128,144.054,0,0.0861,0.0861,54,1558,0.1002,1.2116,0,1,5,0,0,0,0,0,84211,38,39,50,65,44.13,25,42,57,32,0.0964,151,151,42,192,124,71,48,80,36,8,2,2,2,8,3,1,3,1,143,146,40,153,115,63,47,80,35,12,15,316,464,0,0,1,0,22,24,42,15,0.0,0.0,0.0006,0.0,0.0125,0.0137,0.0239,0.0086
17,1596,0.5898,0.5753,1.02,0.9724,0.9887,0.9049,0.0239,46,4,49,4,0.0,23.26,45.9798,0.3432,45.0079,0,0.0288,0.0288,12,577,0.1045,1.4196,0,0,4,0,0,0,0,0,41494,20,21,26,33,25.91,2,15,52,14.87,0.0194,130,143,39,184,111,63,45,72,30,2,1,0,2,3,0,0,1,0,64,59,15,57,42,15,15,21,9,3,5,137,158,0,0,0,0,2,3,6,1,0.0,0.0,0.0,0.0,0.0013,0.0019,0.0038,0.0006
18,1531,0.5656,0.5519,1.07,0.9575,0.9895,0.8455,0.0557,75,6,77,6,0.0,18.13,83.1516,1.3662,81.1473,0,0.0543,0.0543,31,1302,0.1157,1.889,0,0,2,0,0,0,0,0,63980,32,33,42,56,40.76,6,21,39,17.7,0.0418,123,138,37,177,107,62,43,68,26,8,0,3,2,1,1,0,2,0,112,131,38,134,93,44,40,63,23,4,6,275,390,1,0,1,0,11,28,21,9,0.0007,0.0,0.0007,0.0,0.0072,0.0183,0.0137,0.0059
19,1434,0.5328,0.5169,1.13,0.9135,0.9791,0.8504,0.1218,71,10,75,10,0.0025,40.9,72.4998,2.202,69.3546,0,0.0506,0.0506,36,1218,0.1287,2.328,0,0,3,0,0,0,0,0,67870,38,39,49,64,44.9,21,36,57,24.49,0.0704,117,132,36,167,100,55,41,63,25,4,1,4,2,5,1,0,3,0,107,126,32,126,88,37,38,62,21,8,9,258,354,1,0,0,0,15,16,28,7,0.0007,0.0,0.0,0.0,0.0105,0.0112,0.0195,0.0049
20,1333,0.4968,0.4805,1.21,0.892,0.9797,0.83,0.178,59,10,68,14,0.0,48.07,66.1317,2.3729,62.9336,0,0.0496,0.0496,41,1208,0.1435,2.7635,0,3,1,0,0,0,0,0,89622,50,52,65,83,59.95,33,51,71,39.58,0.0945,103,126,32,152,89,53,41,59,22,5,3,3,2,4,2,0,5,1,116,124,29,122,77,41,34,54,21,11,12,241,327,0,0,0,0,9,9,24,6,0.0,0.0,0.0,0.0,0.0068,0.0068,0.018,0.0045
21,1247,0.464,0.4495,1.17,0.8941,0.984,0.8631,0.1503,30,8,35,8,0.0007,39.97,56.7689,1.8176,54.1488,0,0.0455,0.0455,29,1100,0.1539,3.1601,0,1,1,0,0,0,0,0,88114,53,56,71,91,63.13,30,47,68,46.14,0.0986,98,112,27,145,88,54,41,54,21,5,2,1,1,1,1,0,3,1,107,110,25,109,87,36,37,49,18,7,7,220,312,0,0,0,0,14,10,16,12,0.0,0.0,0.0,0.0,0.0112,0.008,0.0128,0.0096
22,1196,0.4445,0.4311,1.3,0.8671,0.9699,0.8724,0.2387,29,16,33,22,0.0,33.51,54.0145,4.9697,48.2294,0,0.0452,0.0452,48,1100,0.1712,3.5566,0,3,0,0,1,0,0,0,108833,66,71,89,114,81.25,27,56,83,36.67,0.1237,93,107,26,139,87,53,40,54,21,11,3,0,3,5,2,0,3,1,87,104,28,111,87,43,39,56,20,12,13,204,312,0,0,0,0,12,19,29,7,0.0,0.0,0.0,0.0,0.01,0.0159,0.0242,0.0059
23,1120,0.4207,0.4037,1.04,0.9643,0.9929,0.866,0.0361,31,2,38,2,0.0,28.14,42.4477,1.5478,40.4915,0,0.0379,0.0379,14,869,0.1763,3.8699,0,0,2,0,0,0,0,0,43632,34,35,44,56,38.94,0,14,22,8,0.0304,85,99,25,131,81,49,40,54,21,0,2,0,0,0,2,0,2,0,79,87,23,88,64,28,34,45,19,2,3,188,277,0,0,0,1,1,4,4,4,0.0,0.0,0.0,0.0009,0.0009,0.0036,0.0036,0.0036
24,1078,0.4048,0.3886,1.19,0.8729,0.9861,0.8871,0.1577,29,4,34,5,0.0,51.64,44.8644,3.657,40.6897,0,0.0416,0.0416,41,912,0.1911,4.1986,0,1,3,0,0,0,0,0,60655,42,43,54,67,50.37,30,48,64,33.7,0.1215,83,96,24,130,76,47,40,50,20,4,4,0,1,3,3,0,4,1,82,90,25,92,64,31,36,47,20,8,11,181,269,0,0,0,0,3,5,10,5,0.0,0.0,0.0,0.0,0.0028,0.0046,0.0093,0.0046
25,1036,0.3879,0.3735,2.87,0.5068,0.7905,0.8694,0.6911,16,145,20,172,0.025,47.17,133.5606,38.2842,90.8052,0,0.1289,0.1289,507,1870,0.3738,4.8727,0,25,3,0,0,0,1,0,356804,111,180,232,302,205.34,85,131,175,91.66,0.4295,79,92,24,125,75,46,36,46,17,64,31,14,48,45,12,12,22,2,160,189,48,141,121,83,118,101,39,56,64,176,260,13,15,9,5,98,109,255,63,0.0125,0.0145,0.0087,0.0048,0.0946,0.1052,0.2461,0.0608
26,799,0.3068,0.288,1.12,0.8986,0.9825,0.8866,0.1147,14,6,20,6,0.0,43.6,26.5129,2.2321,23.8575,0,0.0332,0.0332,41,655,0.3886,5.1089,0,3,3,0,0,0,0,0,70847,76,79,97,119,85.37,30,59,86,37.21,0.0889,52,76,23,100,57,36,26,40,15,6,7,1,3,1,2,1,6,1,46,69,22,74,47,21,22,37,15,10,12,136,207,0,0,0,0,7,3,7,0,0.0,0.0,0.0,0.0,0.0088,0.0038,0.0088,0.0
27,766,0.2956,0.2761,1.02,0.9778,0.9909,0.9117,0.0167,10,2,14,2,0.0,10.0,19.3239,0.2322,18.9268,0,0.0252,0.0252,5,477,0.3904,5.2808,0,0,2,0,0,0,0,0,22211,25,25,31,40,29.15,0,7,14,4.38,0.0157,47,74,21,94,55,36,26,40,15,1,0,0,0,0,0,0,1,0,39,51,15,57,35,17,12,30,12,1,1,105,163,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013
28,751,0.2888,0.2707,1.1,0.9281,0.9933,0.8901,0.0885,13,0,19,0,0.0012,45.75,20.8564,1.0847,19.4364,0,0.0278,0.0278,23,601,0.3987,5.4975,0,2,5,0,0,0,0,0,56326,61,62,78,102,71.43,37,62,78,38.68,0.0692,48,71,21,92,55,36,25,38,15,4,5,0,0,0,0,2,0,5,44,66,21,65,47,19,22,34,12,7,5,124,190,0,0,0,0,6,11,11,6,0.0,0.0,0.0,0.0,0.008,0.0146,0.0146,0.008
29,724,0.2808,0.261,1.03,0.9655,0.9959,0.896,0.0374,16,1,19,1,0.004,45.21,20.2746,0.5286,19.5376,0,0.028,0.028,9,562,0.4019,5.7001,0,1,3,0,1,0,0,0,33699,39,39,49,65,43.81,27,42,89,75.43,0.029,44,67,21,91,54,35,24,36,15,2,2,0,1,0,0,0,0,0,40,59,21,63,47,18,19,34,13,4,1,119,190,1,0,0,0,2,6,4,0,0.0014,0.0,0.0,0.0,0.0028,0.0083,0.0055,0.0
30,708,0.2729,0.2552,1.35,0.7966,0.9732,0.8897,0.2697,13,10,15,13,0.0042,47.39,22.844,2.6237,19.7702,0,0.0323,0.0323,69,661,0.4268,5.9384,0,5,5,0,0,0,0,0,91015,92,101,125,154,110.75,55,77,101,56.37,0.1893,41,65,20,90,55,34,22,35,14,7,3,6,4,7,3,4,4,1,42,76,21,78,58,26,16,40,22,11,20,110,182,2,1,0,0,6,19,17,6,0.0028,0.0014,0.0,0.0,0.0085,0.0268,0.024,0.0085
31,681,0.2606,0.2455,1.06,0.9559,0.9897,0.8769,0.0538,6,0,9,0,0.0042,23.59,15.8068,2.3113,13.299,0,0.0232,0.0232,15,512,0.4322,6.1229,0,1,3,0,0,0,0,0,38103,43,44,55,71,54.84,4,23,55,22.26,0.0396,42,65,18,86,52,34,19,33,14,4,5,0,1,0,0,0,2,0,36,50,17,56,44,18,14,30,14,6,3,102,174,0,0,0,0,1,5,17,0,0.0,0.0,0.0,0.0,0.0015,0.0073,0.025,0.0
32,656,0.2549,0.2365,1.02,0.9756,0.9954,0.8959,0.0238,3,0,7,1,0.0,40.0,11.2193,0.0325,11.0206,0,0.0171,0.0171,6,489,0.4344,6.2992,0,0,3,0,0,0,0,0,34057,39,39,48,61,51.87,1,24,41,11.5,0.0198,39,60,17,83,51,34,19,33,14,0,1,0,0,1,0,0,0,1,35,50,16,54,44,16,14,31,12,1,2,101,169,0,0,0,1,2,1,1,1,0.0,0.0,0.0,0.0015,0.003,0.0015,0.0015,0.0015
33,642,0.2513,0.2314,1.05,0.9548,0.9938,0.9107,0.0491,8,2,10,2,0.0,36.0,11.0679,0.2565,10.6517,0,0.0172,0.0172,11,480,0.4384,6.4722,0,0,3,0,0,0,0,0,27988,38,38,48,61,42.82,14,26,64,20.18,0.0374,39,59,17,83,50,33,19,33,14,1,1,0,0,2,0,0,0,1,33,51,18,54,41,17,15,31,11,2,3,101,167,0,0,0,0,2,0,2,2,0.0,0.0,0.0,0.0,0.0031,0.0,0.0031,0.0031
34,628,0.2459,0.2264,1.03,0.9729,1.0,0.9076,0.0279,5,0,13,0,0.0,35.22,11.3184,0.066,11.1275,0,0.018,0.018,6,469,0.4405,6.6413,0,0,4,0,0,0,0,0,26326,36,37,45,58,41.55,0,26,38,13.06,0.0271,39,59,17,79,49,30,19,32,13,0,1,0,0,1,0,0,0,1,33,50,17,50,39,15,16,30,11,1,2,98,161,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0016
35,629,0.2415,0.2267,1.35,0.7822,0.9666,0.8701,0.2694,14,8,17,11,0.0024,48.78,15.2983,2.2014,12.8094,0,0.0243,0.0243,66,542,0.4643,6.8367,0,1,3,0,1,0,0,0,70685,74,80,102,132,91.91,47,70,102,62.23,0.1987,39,55,16,77,50,30,20,31,13,6,3,0,2,7,4,4,5,2,36,55,18,60,41,21,20,34,11,7,20,94,151,0,0,0,0,10,6,18,4,0.0,0.0,0.0,0.0,0.0159,0.0095,0.0286,0.0064
36,585,0.2282,0.2109,1.21,0.8701,0.9966,0.9005,0.1751,5,2,9,2,0.0,56.48,13.045,1.3718,11.4643,0,0.0223,0.0223,36,477,0.4773,7.0087,0,1,2,0,0,0,0,0,42504,55,56,74,94,63.46,48,67,87,44.4,0.1282,36,53,15,73,46,28,18,29,12,2,1,2,5,2,1,1,4,4,33,49,16,55,36,18,17,28,9,5,14,90,143,0,0,0,0,2,1,6,0,0.0,0.0,0.0,0.0,0.0034,0.0017,0.0103,0.0
37,575,0.2242,0.2073,1.03,0.9722,0.9948,0.9073,0.0271,3,1,5,2,0.0,42.19,10.8224,0.3734,10.2539,0,0.0188,0.0188,15,423,0.4827,7.1611,0,0,2,0,0,0,0,0,42657,42,42,52,69,73.62,23,60,81,34.19,0.0243,35,52,15,71,44,28,18,28,12,0,2,0,1,2,0,0,0,3,34,43,16,48,34,12,15,26,9,2,4,91,143,0,1,0,0,0,2,1,1,0.0,0.0017,0.0,0.0,0.0,0.0035,0.0017,0.0017
38,573,0.2213,0.2066,1.12,0.9005,0.9878,0.8852,0.1123,11,3,15,4,0.0,50.89,11.7986,0.7407,10.898,0,0.0206,0.0206,20,440,0.4899,7.3198,0,0,1,0,0,0,0,0,41864,59,61,73,91,68.57,33,54,95,39.53,0.0995,36,52,15,73,44,28,18,28,12,2,3,0,3,3,0,0,0,1,30,47,16,46,34,12,15,27,13,4,6,88,137,0,1,0,0,2,2,6,2,0.0,0.0017,0.0,0.0,0.0035,0.0035,0.0105,0.0035
39,548,0.2145,0.1975,1.08,0.9307,0.9927,0.9173,0.0724,1,1,3,1,0.0034,48.14,12.2078,0.5719,11.4751,0,0.0223,0.0223,18,410,0.4964,7.4676,0,0,2,0,0,0,0,0,37260,59,60,76,95,65.71,24,56,73,32.12,0.0675,33,51,15,67,42,26,17,28,12,1,1,0,1,1,0,0,2,4,32,47,14,45,33,9,14,23,10,2,7,90,129,1,0,0,0,3,2,7,4,0.0018,0.0,0.0,0.0,0.0055,0.0036,0.0128,0.0073
40,545,0.212,0.1965,3.57,0.4,0.8532,0.8903,0.738,6,43,9,66,0.0558,57.54,50.2354,21.9288,27.1431,0,0.0922,0.0922,360,1090,0.6262,7.8605,0,33,2,0,0,1,0,2,251345,124,184,238,302,208.95,104,152,204,107.52,0.5615,33,51,16,65,42,26,17,27,12,51,36,18,21,30,21,9,31,18,69,153,53,78,96,37,29,105,32,45,56,87,134,3,5,10,6,26,36,103,24,0.0055,0.0092,0.0183,0.011,0.0477,0.0661,0.189,0.044
41,460,0.1806,0.1658,1.92,0.6391,0.9522,0.8676,0.4921,6,9,10,13,0.0023,53.79,19.9759,5.3869,14.2703,0,0.0434,0.0434,145,549,0.6784,8.0584,0,11,2,0,0,0,0,0,107242,109,136,179,223,152.48,75,115,157,92.31,0.3391,29,42,12,58,38,20,15,21,7,13,16,4,15,14,4,4,13,1,51,44,19,51,49,11,19,31,8,25,32,69,109,3,2,4,1,16,27,65,9,0.0065,0.0043,0.0087,0.0022,0.0348,0.0587,0.1413,0.0196
42,424,0.1698,0.1528,1.6,0.7075,0.9741,0.9201,0.3855,1,3,2,4,0.0045,46.57,12.4667,2.3715,9.8081,0,0.0294,0.0294,75,416,0.7055,8.2084,0,10,4,0,1,0,0,0,73131,101,123,160,213,136.25,58,86,131,64.6,0.2783,24,39,10,47,35,18,15,19,7,5,10,1,9,8,6,1,4,1,38,41,11,31,37,9,18,18,6,11,17,69,92,3,2,1,0,6,12,24,1,0.0071,0.0047,0.0024,0.0,0.0142,0.0283,0.0566,0.0024
43,413,0.1658,0.1489,1.69,0.6683,0.9806,0.8938,0.4167,4,3,9,3,0.0043,61.8,9.1111,2.1126,6.8052,0,0.0221,0.0221,85,419,0.7361,8.3594,0,10,4,0,1,0,1,0,81641,108,125,161,203,140.68,79,109,144,84.56,0.3245,24,38,10,45,35,17,13,19,7,7,8,0,14,10,1,2,5,1,23,48,11,33,48,10,12,23,5,13,23,63,88,1,2,2,0,4,7,13,2,0.0024,0.0048,0.0048,0.0,0.0097,0.0169,0.0315,0.0048
44,398,0.1601,0.1435,9.01,0.1533,0.5352,0.9108,0.9136,2,105,2,167,0.0453,30.76,113.0629,59.5695,51.1834,0,0.2841,0.2841,1090,1671,1.1291,8.9618,0,59,2,0,4,1,7,1,612376,106,564,766,933,628.91,95,201,345,145.85,0.794,24,36,10,40,34,17,13,19,7,134,92,8,67,148,55,27,127,16,181,146,49,90,200,112,41,88,23,48,64,59,95,106,141,32,20,194,220,314,99,0.2663,0.3543,0.0804,0.0503,0.4874,0.5528,0.7889,0.2487
45,220,0.0966,0.0793,1.15,0.8909,0.9818,0.9491,0.1299,0,0,0,1,0.0,32.61,5.1519,1.6207,3.4349,0,0.0234,0.0234,29,180,1.1395,9.0267,0,1,3,0,0,0,0,0,28171,97,104,128,173,119.95,32,80,136,50.36,0.1091,13,22,8,20,15,12,9,10,2,4,4,3,2,2,1,2,0,1,13,19,8,16,11,6,6,8,1,9,7,37,48,1,1,0,0,1,2,2,0,0.0045,0.0045,0.0,0.0,0.0045,0.0091,0.0091,0.0
46,211,0.0963,0.0761,1.0,0.9953,1.0,0.9431,0.0047,1,0,1,0,0.0,18.0,2.3544,0.0137,2.3098,0,0.0112,0.0112,3,155,1.1406,9.0826,0,0,2,0,0,0,0,0,7231,29,29,35,45,34.11,0,0,0,0,0.0095,11,21,8,19,15,11,9,10,2,0,0,0,1,0,0,0,0,1,9,18,8,15,13,5,7,8,0,0,2,35,48,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0
47,211,0.0959,0.0761,1.29,0.8531,0.9953,0.9286,0.2198,1,0,2,0,0.0037,53.5,4.252,1.1723,2.9874,0,0.0202,0.0202,45,175,1.1568,9.1456,0,1,3,0,0,0,1,1,37936,133,140,181,231,154.63,94,128,162,88.5,0.1469,11,21,8,19,15,11,9,10,2,8,6,2,3,0,4,1,2,2,11,19,10,16,14,6,9,9,1,13,10,35,51,1,4,0,0,2,8,4,1,0.0047,0.019,0.0,0.0,0.0095,0.0379,0.019,0.0047
48,218,0.0948,0.0786,1.52,0.7752,0.9679,0.9147,0.3323,0,2,2,2,0.0,41.23,7.6677,3.2327,4.3078,0,0.0352,0.0352,75,224,1.1839,9.2264,0,3,2,0,0,0,0,0,51558,134,151,205,268,185.5,77,137,249,99.4,0.2248,11,22,9,20,15,11,9,11,2,5,3,3,4,1,18,3,1,2,13,26,10,18,12,21,8,14,2,9,12,38,49,3,5,4,0,3,5,9,3,0.0138,0.0229,0.0183,0.0,0.0138,0.0229,0.0413,0.0138
49,202,0.0916,0.0728,1.59,0.7426,0.9802,0.9141,0.3769,1,1,2,3,0.0063,40.12,16.8913,8.8487,7.7836,0,0.0836,0.0836,109,209,1.2231,9.3017,0,8,4,0,0,0,1,0,64484,194,242,305,395,263.39,80,148,270,101.93,0.2475,9,21,8,19,14,10,9,10,2,13,18,2,10,5,6,3,8,3,17,27,13,14,23,5,7,8,2,19,26,37,45,0,8,0,0,1,10,3,0,0.0,0.0396,0.0,0.0,0.005,0.0495,0.0149,0.0
