level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
1,2701,0.9762,0.9737,1.01,0.9789,0.9841,0.9876,0.0073,23,2,23,2,0.0,20.45,0.2099,0.0539,0.0934,0,0.0001,0.0001,3,4,0.0011,0.0014,0,0,0,0,0,0,0,0,21571,4,4,6,9,7.89,0,0,110,26.1,0.01,210,192,64,262,231,104,64,107,64,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2635,0.9524,0.9499,1.01,0.9871,0.9924,0.9912,0.006,16,2,16,2,0.0,2.06,0.0225,0,0,0,0,0,0,0,0.0011,0.0014,0,0,0,0,0,0,0,0,11684,3,3,4,6,4.47,0,0,0,0,0.0061,205,189,62,260,220,102,63,106,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2599,0.9394,0.9369,1.01,0.9835,0.99,0.9891,0.008,17,1,19,2,0.0,10.71,2.293,0,0.0059,0,0.0009,0.0009,0,1,0.0011,0.0018,0,0,0,0,0,0,0,0,11754,3,3,5,7,4.56,0,0,0,0,0.0077,204,188,62,258,210,101,63,106,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2555,0.9236,0.9211,1.03,0.9628,0.9804,0.9876,0.0256,16,6,16,6,0.0023,4.48,2.4099,0.1887,0,0,0.0009,0.0009,3,0,0.0022,0.0018,0,0,0,0,0,0,0,0,54162,18,18,22,29,21.38,0,16,28,8.37,0.0204,202,187,58,255,202,100,63,105,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,0,0,0,2559,0,0,0,0.9926,0.0,0.0,0.0,1.0016,0.0,0.0,0.0
5,2489,0.9005,0.8973,1.11,0.9369,0.9811,0.9844,0.096,15,16,16,16,0.0007,22.03,2.4586,0.3157,0.1172,0,0.001,0.001,18,11,0.0087,0.0058,0,0,2,0,0,0,0,0,74414,18,19,25,34,26.33,13,21,33,36.87,0.0562,201,187,57,251,198,98,62,102,59,1,1,0,1,3,0,0,0,0,0,2,1,2,0,0,0,0,0,2,2,3,2,2,0,0,0,55,0,0,0,0.0008,0.0,0.0,0.0,0.0221,0.0,0.0,0.0
6,2425,0.8785,0.8742,1.19,0.8948,0.9596,0.9858,0.1681,19,41,19,47,0.021,42.08,4.3355,1.1687,0,0,0.0018,0.0018,15,0,0.0141,0.0058,0,0,1,0,0,0,0,0,122462,38,40,51,66,46.44,27,40,60,29.63,0.0829,198,188,56,247,188,93,61,100,56,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,2409,0,83,0,2558,0,0.0016,0.0,0.9934,0.0,0.0342,0.0,1.0548,0.0
7,2311,0.8399,0.8331,1.04,0.9662,0.9896,0.9878,0.0402,14,3,14,3,0.0,16.61,1.5222,0.0835,0.2585,0,0.0007,0.0007,5,6,0.0159,0.0079,0,0,0,0,0,0,0,0,43961,14,14,18,25,18.79,7,12,19,8.74,0.0264,192,184,54,243,168,86,60,95,52,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,9,0,23,0,0.0009,0.0,0.0,0.0,0.0039,0.0,0.01,0.0
8,2272,0.827,0.819,1.03,0.9595,0.9855,0.9799,0.0337,11,1,12,3,0.0065,26.53,1.8683,0.0264,0,0,0.0008,0.0008,2,0,0.0166,0.0079,0,0,0,0,0,0,0,0,77003,29,29,35,46,33.85,13,26,37,15.46,0.0255,190,179,54,243,167,84,60,93,52,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2261,8,0,20,2160,0.0,0.0,0.0,0.9952,0.0035,0.0,0.0088,0.9507
9,2231,0.8129,0.8043,1.07,0.9431,0.9852,0.9768,0.0709,14,8,14,9,0.0,41.71,3.1124,1.2698,0.0876,0,0.0014,0.0014,9,5,0.0198,0.0097,0,0,0,0,0,0,0,0,88477,30,30,39,51,37.78,22,40,66,31.36,0.048,190,177,52,241,163,84,59,91,51,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,2,0,0,0,3,1,2,0,0,0,0,20,0,38,22,0.0,0.0,0.0,0.0,0.009,0.0,0.017,0.0099
10,2184,0.796,0.7873,1.14,0.9057,0.9725,0.9788,0.13,14,21,15,22,0.0004,41.42,8.7448,6.9581,0,0,0.004,0.004,75,0,0.0469,0.0097,0,1,0,0,0,0,0,0,101752,34,35,45,59,43.75,22,35,55,27.11,0.0746,189,174,51,238,157,83,59,90,50,15,3,2,4,7,2,2,5,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,3,10,0,22,40,0.0,0.0,0.0,0.0014,0.0046,0.0,0.0101,0.0183
