"level","playing_users","total_out_of_lives_users","out_of_lives_dropped","out_of_lives_passed_sameday","out_of_lives_passed_later","win_dropped_users_cohort","lose_dropped_users_cohort","win_dropped_users_realtime","lose_dropped_users_realtime","rw_heart_imp","rw_home_heart_imp"
"118","25","2","0","2","0","1","0","1","0","0","0"
"119","24","3","0","3","0","0","0","0","0","0","0"
"120","23","2","0","2","0","0","0","0","0","0","0"
"121","24","2","0","2","0","1","0","2","0","0","0"
"122","22","2","1","0","1","0","0","0","1","0","0"
"123","21","0","0","0","0","0","0","1","0","0","0"
"124","21","3","0","3","0","0","0","0","0","2","0"
"125","21","1","0","1","0","1","0","1","0","0","0"
"126","20","1","0","1","0","0","0","0","0","0","0"
"127","20","1","0","1","0","0","0","0","0","0","0"
"128","20","1","0","1","0","0","0","0","0","0","0"
"129","20","2","0","2","0","0","0","0","1","0","0"
"130","19","0","0","0","0","0","0","0","0","0","0"
"131","19","0","0","0","0","0","0","0","0","0","0"
"132","19","1","0","1","0","0","0","0","0","0","0"
"133","19","1","0","1","0","0","0","0","1","1","0"
"134","18","1","0","1","0","0","0","1","0","1","0"
"135","17","1","0","1","0","0","0","0","0","0","0"
"136","17","1","0","1","0","0","0","0","0","0","0"
"137","17","1","0","1","0","0","0","0","0","0","0"
"138","17","1","0","1","0","0","0","0","0","0","0"
"139","17","1","0","1","0","0","0","0","0","0","0"
"140","17","1","0","1","0","0","0","0","0","0","0"
"141","17","1","0","1","0","0","0","0","0","0","0"
"142","17","1","0","1","0","0","0","1","0","0","0"
"143","17","1","0","1","0","0","0","0","0","0","0"
"144","16","1","0","1","0","0","0","0","0","0","0"
"145","16","1","0","1","0","0","0","0","0","0","0"
"146","16","1","0","1","0","0","0","0","0","0","0"
"147","16","0","0","0","0","0","0","0","0","0","0"
"148","16","0","0","0","0","0","0","1","0","0","0"
"149","16","1","0","1","0","0","0","0","0","0","0"
"150","16","0","0","0","0","0","0","1","0","0","0"
"151","15","0","0","0","0","0","0","0","0","0","0"
"152","15","0","0","0","0","0","0","1","0","0","0"
"153","14","0","0","0","0","0","0","0","0","0","0"
"154","14","2","0","2","0","0","0","0","0","1","0"
"155","14","2","0","2","0","0","0","0","0","0","0"
"156","14","1","0","1","0","0","0","0","0","0","0"
"157","14","1","0","1","0","0","0","0","0","0","0"
"158","14","1","0","1","0","0","0","0","0","0","0"
"159","14","1","1","0","0","0","0","0","2","0","0"
"160","12","0","0","0","0","0","0","0","0","0","0"
"161","12","1","0","1","0","0","0","0","0","0","0"
"162","12","1","0","1","0","0","0","0","0","0","0"
"163","12","1","0","1","0","0","0","0","0","0","0"
"164","12","1","0","1","0","0","0","0","0","0","0"
"165","12","1","0","1","0","0","0","0","0","0","0"
"166","12","0","0","0","0","0","0","0","0","0","0"
"167","12","0","0","0","0","0","0","0","0","0","0"
"168","12","1","0","1","0","0","0","0","0","0","1"
"169","12","1","0","0","1","0","0","0","0","0","0"
"170","12","0","0","0","0","0","0","0","0","0","0"
"171","12","0","0","0","0","0","0","0","0","0","0"
"172","12","0","0","0","0","0","0","0","0","0","0"
"173","12","0","0","0","0","0","0","0","0","0","0"
"174","12","0","0","0","0","0","0","0","0","0","0"
"175","12","0","0","0","0","0","0","0","0","0","0"
"176","12","0","0","0","0","0","0","0","0","0","0"
"177","12","0","0","0","0","0","0","0","0","0","0"
"178","12","0","0","0","0","0","0","0","0","0","0"
"179","12","0","0","0","0","0","0","0","0","0","0"
"180","12","0","0","0","0","0","0","0","0","0","0"
"181","12","0","0","0","0","0","0","0","0","0","0"
"182","12","0","0","0","0","0","0","0","0","0","0"
"183","12","0","0","0","0","0","0","0","0","0","0"
"184","12","0","0","0","0","0","0","0","0","0","0"
"185","12","0","0","0","0","0","0","0","0","0","0"
"186","12","0","0","0","0","0","0","0","0","0","0"
"187","12","0","0","0","0","0","0","0","0","0","0"
"188","12","0","0","0","0","0","0","0","0","0","0"
"189","12","1","0","1","0","0","0","0","0","0","0"
"190","12","1","0","1","0","0","0","0","0","0","0"
"191","12","1","0","1","0","0","0","0","0","0","0"
"192","13","0","0","0","0","0","0","0","0","0","0"
"193","13","0","0","0","0","0","0","0","0","0","0"
"194","13","0","0","0","0","0","0","0","0","0","0"
"195","13","0","0","0","0","0","0","0","0","0","0"
"196","13","0","0","0","0","0","0","0","0","0","0"
"197","13","0","0","0","0","0","0","0","0","0","0"
"198","13","0","0","0","0","0","0","0","0","0","0"
"199","13","1","0","1","0","0","0","0","2","0","0"
"200","11","0","0","0","0","0","0","0","0","0","0"
"201","11","0","0","0","0","0","0","0","0","0","0"
"202","11","0","0","0","0","0","0","0","0","0","0"
"203","11","0","0","0","0","0","0","0","0","0","0"
"204","11","0","0","0","0","0","0","0","0","0","0"
"205","11","0","0","0","0","0","0","0","0","0","0"
"206","11","0","0","0","0","0","0","0","0","0","0"
"207","11","0","0","0","0","0","0","0","0","0","0"
"208","11","0","0","0","0","0","0","0","0","0","0"
"209","11","2","0","2","0","0","0","0","0","2","0"
"210","11","1","0","1","0","0","0","0","0","0","0"
"211","11","0","0","0","0","0","0","0","0","0","0"
"212","11","0","0","0","0","0","0","0","0","0","0"
"213","11","0","0","0","0","0","0","0","0","0","0"
"214","11","1","0","1","0","0","0","0","0","0","0"
"215","11","0","0","0","0","0","0","0","0","0","0"
"216","11","0","0","0","0","0","0","0","0","0","0"
"217","11","0","0","0","0","0","0","0","0","0","0"
"218","11","0","0","0","0","0","0","0","0","0","0"
"219","11","0","0","0","0","0","0","0","0","0","0"
"220","11","0","0","0","0","0","0","1","0","0","0"
"221","10","0","0","0","0","0","0","1","0","0","0"
"222","9","0","0","0","0","0","0","0","0","0","0"
"223","9","0","0","0","0","0","0","0","0","0","0"
"224","9","0","0","0","0","0","0","0","1","0","0"
"225","8","0","0","0","0","0","0","2","0","0","0"
"226","6","0","0","0","0","0","0","0","0","0","0"
"227","6","0","0","0","0","0","0","0","0","0","0"
"228","6","0","0","0","0","0","0","0","0","0","0"
"229","6","0","0","0","0","0","0","0","0","0","0"
"230","6","0","0","0","0","0","0","0","0","0","0"
"231","6","0","0","0","0","0","0","0","0","0","0"
"232","6","0","0","0","0","0","0","0","0","0","0"
"233","6","0","0","0","0","0","0","0","0","0","0"
"234","6","0","0","0","0","0","0","0","0","0","0"
"235","6","0","0","0","0","0","0","0","0","0","0"
"236","6","0","0","0","0","0","0","0","0","0","0"
"237","6","0","0","0","0","0","0","0","0","0","0"
"238","6","0","0","0","0","0","0","0","0","0","0"
"239","6","1","0","1","0","0","0","0","0","0","0"
"240","6","0","0","0","0","0","0","0","0","0","0"
"241","6","0","0","0","0","0","0","0","0","0","0"
"242","6","1","0","1","0","0","0","0","0","0","0"
"243","6","1","0","1","0","0","0","0","0","0","0"
"244","6","1","0","1","0","0","0","0","0","0","0"
"245","6","0","0","0","0","0","0","0","0","0","0"
"246","6","0","0","0","0","0","0","0","0","0","0"
"247","6","0","0","0","0","0","0","0","0","0","0"
"248","6","0","0","0","0","0","0","0","0","0","0"
"249","6","0","0","0","0","0","0","0","0","0","0"
"250","6","0","0","0","0","0","0","0","0","0","0"
"251","6","0","0","0","0","0","0","0","0","0","0"
"252","6","0","0","0","0","0","0","0","0","0","0"
"253","6","1","0","1","0","0","0","0","0","0","0"
"254","6","0","0","0","0","0","0","0","0","0","0"
"255","6","0","0","0","0","0","0","0","0","0","0"
"256","6","0","0","0","0","0","0","0","0","0","0"
"257","6","0","0","0","0","0","0","0","0","0","0"
"258","6","0","0","0","0","0","0","0","0","0","0"
"259","6","0","0","0","0","0","0","1","0","0","0"
"260","5","0","0","0","0","0","0","0","0","0","0"
"261","5","0","0","0","0","0","0","0","0","0","0"
"262","5","0","0","0","0","0","0","0","0","0","0"
"263","5","0","0","0","0","0","0","0","0","0","0"
"264","5","0","0","0","0","0","0","0","0","0","0"
"265","5","0","0","0","0","0","0","0","0","0","0"
"266","5","0","0","0","0","0","0","0","0","0","0"
"267","5","0","0","0","0","0","0","0","0","0","0"
"268","5","0","0","0","0","0","0","0","0","0","0"
"269","5","0","0","0","0","0","0","0","0","0","0"
"270","5","0","0","0","0","0","0","0","0","0","0"
"271","5","0","0","0","0","0","0","0","0","0","0"
"272","5","0","0","0","0","0","0","0","0","0","0"
"273","5","0","0","0","0","0","0","0","0","0","0"
"274","5","0","0","0","0","0","0","0","0","0","0"
"275","5","0","0","0","0","0","0","0","0","0","0"
"276","5","0","0","0","0","0","0","0","0","0","0"
"277","5","0","0","0","0","0","0","0","0","0","0"
"278","5","0","0","0","0","0","0","0","0","0","0"
"279","5","0","0","0","0","0","0","0","0","0","0"
