level,playing_users,lost_heart_not_out_users,lost_heart_not_out_won,lost_heart_not_out_dropped_cohort,lost_heart_not_out_dropped_realtime,total_out_of_lives_users,out_of_lives_returned_users,out_of_lives_churned_cohort,out_of_lives_churned_realtime,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime
108,30,6,6,0,0,2,2,0,0,0,0,0,0
109,30,7,6,0,1,2,2,0,0,0,0,1,1
110,28,7,7,0,0,1,1,0,0,0,0,0,0
111,28,7,7,0,0,1,1,0,0,0,0,0,0
112,28,7,7,0,0,1,1,0,0,0,0,1,0
113,27,7,7,0,0,0,0,0,0,0,0,0,0
114,26,5,5,0,0,2,2,0,0,0,0,0,0
115,26,5,5,0,0,2,2,0,0,0,0,0,0
116,27,6,6,0,0,2,2,0,0,0,0,0,0
117,27,9,8,0,0,2,2,0,0,0,0,1,0
118,25,7,7,0,0,2,2,0,0,1,0,1,0
119,24,7,7,0,0,3,2,0,0,0,0,0,0
120,23,7,7,0,0,2,1,0,0,0,0,0,0
121,24,8,8,0,0,2,1,0,0,1,0,2,0
122,22,8,8,0,0,2,1,0,1,0,0,0,1
123,21,7,7,0,0,0,0,0,0,0,0,1,0
124,21,4,4,0,0,3,2,0,0,0,0,0,0
125,21,4,4,0,0,1,1,0,0,1,0,1,0
126,20,4,4,0,0,1,1,0,0,0,0,0,0
127,20,4,4,0,0,1,1,0,0,0,0,0,0
128,20,5,5,0,0,1,1,0,0,0,0,0,0
129,20,6,6,0,0,2,2,0,0,0,0,0,1
130,19,3,3,0,0,0,0,0,0,0,0,0,0
131,19,3,3,0,0,0,0,0,0,0,0,0,0
132,19,2,2,0,0,1,1,0,0,0,0,0,0
133,19,5,4,0,1,1,1,0,0,0,0,0,1
134,18,1,1,0,0,1,1,0,0,0,0,1,0
135,17,1,1,0,0,1,1,0,0,0,0,0,0
136,17,2,2,0,0,1,1,0,0,0,0,0,0
137,17,2,2,0,0,1,1,0,0,0,0,0,0
138,17,2,2,0,0,1,1,0,0,0,0,0,0
139,17,2,2,0,0,1,1,0,0,0,0,0,0
140,17,2,2,0,0,1,1,0,0,0,0,0,0
141,17,0,0,0,0,1,1,0,0,0,0,0,0
142,17,0,0,0,0,1,1,0,0,0,0,1,0
143,17,5,4,0,0,1,1,0,0,0,0,0,0
144,16,4,4,0,0,1,1,0,0,0,0,0,0
145,16,5,5,0,0,1,1,0,0,0,0,0,0
146,16,4,4,0,0,1,1,0,0,0,0,0,0
147,16,5,5,0,0,0,0,0,0,0,0,0,0
148,16,4,4,0,0,0,0,0,0,0,0,1,0
149,16,5,5,0,0,1,0,0,0,0,0,0,0
150,16,3,3,0,0,0,0,0,0,0,0,1,0
151,15,2,2,0,0,0,0,0,0,0,0,0,0
152,15,2,2,0,0,0,0,0,0,0,0,1,0
153,14,2,2,0,0,0,0,0,0,0,0,0,0
154,14,4,4,0,0,2,1,0,0,0,0,0,0
155,14,4,4,0,0,2,1,0,0,0,0,0,0
156,14,5,5,0,0,1,1,0,0,0,0,0,0
157,14,5,5,0,0,1,1,0,0,0,0,0,0
158,14,5,5,0,0,1,1,0,0,0,0,0,0
159,14,4,4,0,0,1,0,0,1,0,0,0,2
160,12,4,4,0,0,0,0,0,0,0,0,0,0
161,12,3,3,0,0,1,1,0,0,0,0,0,0
162,12,3,3,0,0,1,1,0,0,0,0,0,0
163,12,4,4,0,0,1,1,0,0,0,0,0,0
164,12,4,4,0,0,1,1,0,0,0,0,0,0
165,12,4,4,0,0,1,1,0,0,0,0,0,0
