level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
147,34,0.0141,0.0133,1.09,0.9412,1.0,0.9412,0.0811,0,0,0,0,0.0,47.33,0.1472,0.0547,0.0791,0,0.0043,0.0043,10,21,4.1788,10.18,0,4,5,0,0,0,0,0,4140,100,100,121,176,119.06,32,60,60,30.67,0.0588,1,5,1,2,3,1,0,3,3,1,0,1,1,0,0,0,1,0,1,4,0,1,2,0,0,2,3,2,2,5,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,34,0.0141,0.0133,1.18,0.8235,1.0,0.9118,0.15,0,0,0,0,0.0,26.0,0.2392,0.101,0.1157,0,0.007,0.007,13,22,4.1839,10.1886,0,10,3,0,0,0,0,0,7251,151,159,227,304,182.03,10,92,899,177,0.1765,1,5,1,2,3,1,0,3,3,1,3,1,1,2,0,0,0,4,0,4,0,1,2,1,0,2,3,4,4,4,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,35,0.0141,0.0137,1.54,0.6571,0.9429,0.7879,0.3704,0,0,0,2,0.3019,40.05,0.7442,0.4239,0.0966,0,0.0213,0.0213,57,25,4.2062,10.1984,0,39,5,0,4,0,7,0,20545,375,511,664,883,541.12,95,203,310,134.4,0.3143,2,5,1,2,3,1,0,3,3,1,3,2,1,9,0,0,8,11,1,4,0,2,5,1,0,2,3,3,8,5,9,4,8,0,0,4,10,1,0,0.1143,0.2286,0.0,0.0,0.1143,0.2857,0.0286,0.0
150,33,0.0133,0.0129,1.03,0.9697,1.0,0.8788,0.0294,0,0,1,0,0.0294,45.0,0.1665,0.0419,0.1137,0,0.005,0.005,7,22,4.2089,10.207,0,1,5,0,0,0,1,0,3573,99,99,121,150,104.52,124,124,124,124,0.0303,2,5,1,2,2,1,0,3,3,1,0,1,1,1,0,0,1,0,1,4,0,1,1,1,0,2,3,2,3,5,8,0,1,0,0,0,1,0,0,0.0,0.0303,0.0,0.0,0.0,0.0303,0.0,0.0
151,32,0.0129,0.0125,1.09,0.9375,1.0,1.0,0.0857,0,0,0,0,0.0,49.67,0.1662,0.0749,0.0843,0,0.0052,0.0052,8,21,4.2121,10.2152,0,3,5,0,0,0,0,0,3241,90,92,104,134,101.28,0,0,0,0,0.0625,2,4,1,2,2,1,0,3,3,1,0,1,1,2,0,0,1,0,1,4,0,1,2,0,0,2,3,2,4,5,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,32,0.0129,0.0125,1.22,0.9063,1.0,0.8438,0.1538,0,0,0,0,0.2564,52.83,0.2,0.0784,0.0743,0,0.0062,0.0062,16,21,4.2183,10.2234,0,4,5,0,1,0,6,0,9311,212,230,344,444,270.45,0,84,280,64.33,0.125,2,4,1,2,2,1,0,3,3,1,0,1,0,6,0,0,1,2,0,4,0,2,1,0,0,2,4,2,3,4,8,1,6,0,0,1,7,0,0,0.0313,0.1875,0.0,0.0,0.0313,0.2188,0.0,0.0
153,32,0.0129,0.0125,1.0,0.9688,0.9688,0.9355,0.0,0,0,0,0,0.0323,,0.1162,0.0357,0.0782,0,0.0036,0.0036,5,22,4.2203,10.232,0,0,4,0,0,0,1,0,2791,78,78,106,150,90.03,0,0,0,0,0.0,2,4,1,2,2,1,0,3,3,1,0,0,1,1,0,0,1,0,1,4,1,1,2,0,0,2,3,1,3,6,8,0,1,0,0,0,1,0,0,0.0,0.0313,0.0,0.0,0.0,0.0313,0.0,0.0
154,31,0.0125,0.0121,1.77,0.6774,1.0,0.8065,0.4545,0,0,0,0,0.1607,56.32,0.3357,0.1885,0.1066,0,0.0108,0.0108,43,26,4.2371,10.2422,0,33,5,1,0,0,3,1,12350,210,268,363,509,327.03,75,178,211,88.48,0.3226,2,4,1,2,2,1,0,3,3,1,4,9,1,5,0,0,5,8,6,5,0,1,2,0,0,1,4,4,7,5,7,0,4,1,0,0,4,1,0,0.0,0.129,0.0323,0.0,0.0,0.129,0.0323,0.0
155,31,0.0125,0.0121,1.03,0.9677,1.0,0.9677,0.0313,0,0,1,0,0.0,68.0,0.144,0.063,0.061,0,0.0046,0.0046,8,19,4.2402,10.2496,0,3,5,0,0,0,0,0,5355,124,125,168,251,172.74,0,0,0,0,0.0323,2,4,1,2,2,1,0,3,3,1,0,0,1,0,0,0,3,1,1,3,1,1,2,0,0,1,2,1,4,5,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,30,0.0121,0.0117,1.07,0.9333,1.0,0.9667,0.0625,0,0,0,0,0.0,51.0,0.1266,0.0522,0.0711,0,0.0042,0.0042,7,21,4.243,10.2578,0,2,5,0,0,0,0,0,2375,68,68,82,131,75.57,26,82,82,54,0.0667,2,4,1,2,2,1,0,3,3,1,1,0,1,0,0,0,1,2,1,5,1,1,2,0,0,2,2,2,4,6,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,30,0.0121,0.0117,1.0,1.0,1.0,0.9667,0.0,0,0,0,0,0.0,,0.117,0.0384,0.0745,0,0.0039,0.0039,4,21,4.2445,10.266,0,0,4,0,0,0,0,0,2281,62,62,84,94,76.03,0,0,0,0,0.0,2,4,1,2,2,1,0,3,3,1,0,0,1,0,0,0,1,0,1,4,1,1,2,0,0,2,3,1,2,6,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,30,0.0121,0.0117,1.1,0.9,1.0,0.9,0.0909,0,0,0,0,0.0,18.0,0.1402,0.0704,0.0659,0,0.0047,0.0047,5,21,4.2465,10.2743,0,1,4,0,0,0,0,0,2388,62,69,82,97,79.6,0,0,0,0,0.1,2,4,1,2,2,1,0,3,3,1,0,1,1,0,0,0,1,0,1,4,1,1,2,0,0,2,3,2,2,6,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,30,0.0121,0.0117,1.5,0.7667,0.9667,0.9655,0.3333,0,0,0,0,0.1136,42.47,0.4047,0.2912,0.0689,0,0.0135,0.0135,61,21,4.2703,10.2825,0,53,5,0,0,0,3,0,13874,314,418,492,596,422.9,59,239,304,107.33,0.2,2,4,1,2,2,1,0,3,3,1,7,11,1,4,0,0,12,13,1,4,2,2,2,0,0,1,3,4,8,6,6,0,3,0,0,0,3,1,0,0.0,0.1,0.0,0.0,0.0,0.1,0.0333,0.0
160,29,0.0117,0.0113,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,,0.1108,0.0418,0.0642,0,0.0038,0.0038,5,19,4.2723,10.2899,0,0,5,0,0,0,0,0,1288,43,43,46,66,44.41,0,0,0,0,0.0,2,4,1,2,2,1,0,3,2,1,0,1,1,0,0,0,1,0,1,4,0,1,2,0,0,2,2,2,2,5,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,29,0.0117,0.0113,1.07,0.8966,0.9655,0.9286,0.0645,0,0,0,0,0.0,66.0,0.1272,0.0376,0.0848,0,0.0044,0.0044,3,21,4.2735,10.2981,0,0,3,0,0,0,0,0,1923,60,69,79,88,64.89,53,53,53,53,0.069,2,4,1,2,2,1,0,3,2,1,0,0,1,0,0,0,1,0,1,4,1,1,2,0,0,2,2,1,2,6,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,27,0.0113,0.0106,1.07,0.9259,1.0,0.963,0.069,0,0,0,0,0.0,55.0,0.1121,0.0477,0.0572,0,0.0042,0.0042,6,19,4.2758,10.3056,0,2,4,0,0,0,0,0,2580,99,99,108,119,92.52,30,52,52,41,0.0741,2,4,1,2,2,1,0,3,2,1,0,0,1,0,0,0,2,2,1,4,1,1,2,0,0,2,2,1,5,6,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,27,0.0113,0.0106,1.11,0.8889,1.0,0.963,0.1,0,0,0,0,0.0667,42.0,0.172,0.0953,0.0601,0,0.0064,0.0064,22,18,4.2844,10.3126,0,17,4,0,0,0,1,0,7171,217,229,278,392,250.48,159,164,164,136,0.1111,2,4,1,2,2,1,0,3,2,1,3,1,1,5,0,0,3,6,1,4,0,2,2,0,0,2,1,3,5,5,7,0,1,0,0,0,2,0,0,0.0,0.037,0.0,0.0,0.0,0.0741,0.0,0.0
164,27,0.0113,0.0106,1.0,1.0,1.0,0.963,0.0,0,0,0,0,0.0,,0.1114,0.0356,0.0705,0,0.0041,0.0041,3,18,4.2856,10.3196,0,0,3,0,0,0,0,0,1773,57,57,75,92,65.67,0,0,0,0,0.0,2,4,1,2,2,1,0,3,2,1,0,0,1,0,0,0,1,0,1,4,1,1,2,0,0,2,2,1,2,6,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,27,0.0113,0.0106,1.0,1.0,1.0,0.8519,0.0,0,0,1,0,0.0,,0.1106,0.0396,0.0662,0,0.0041,0.0041,4,18,4.2872,10.3267,0,0,4,0,0,0,0,0,2453,77,77,113,151,90.85,0,0,0,0,0.0,2,4,1,2,2,1,0,3,2,1,0,1,1,0,0,0,1,0,1,4,0,1,2,0,0,2,2,2,2,5,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,27,0.011,0.0106,1.07,0.963,1.0,0.8148,0.069,0,0,0,0,0.0333,41.5,0.1368,0.0562,0.0733,0,0.0051,0.0051,7,19,4.2899,10.3341,0,3,2,0,0,0,1,0,3832,115,117,146,222,132.39,0,125,125,62.5,0.0741,2,4,1,2,2,1,0,3,1,1,2,0,1,2,0,0,0,0,1,3,1,1,2,0,0,2,1,2,2,5,6,0,1,0,0,0,1,0,0,0.0,0.037,0.0,0.0,0.0,0.037,0.0,0.0
167,27,0.011,0.0106,1.11,0.8889,1.0,0.8889,0.1,0,0,1,0,0.0,62.33,0.1228,0.0533,0.059,0,0.0045,0.0045,5,19,4.2919,10.3415,0,2,3,0,0,0,0,0,4548,134,144,176,290,157.15,98,116,116,101.67,0.1111,2,4,1,2,2,1,0,3,1,1,0,0,1,0,0,0,3,0,0,5,1,2,2,0,0,1,1,1,3,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,26,0.0106,0.0102,1.27,0.9231,1.0,0.9231,0.2121,0,0,0,0,0.2121,54.43,0.1423,0.0773,0.0574,0,0.0055,0.0055,12,23,4.2966,10.3505,0,7,3,0,0,0,1,0,5361,140,144,200,255,177.19,119,135,141,107.71,0.0769,2,4,1,2,2,1,0,3,1,1,0,0,3,1,0,0,4,0,1,4,1,5,1,0,0,2,1,1,4,6,6,0,1,0,0,0,1,1,0,0.0,0.0385,0.0,0.0,0.0,0.0385,0.0385,0.0
169,26,0.0106,0.0102,1.62,0.6538,1.0,1.0,0.381,0,0,0,0,0.1429,59.38,0.368,0.2647,0.0786,0,0.0142,0.0142,33,25,4.3095,10.3603,0,24,3,0,1,0,5,0,13275,298,380,442,690,410.85,133,212,416,162.06,0.3462,2,4,1,2,2,1,0,3,1,3,2,2,1,14,0,0,2,1,2,5,1,2,1,0,0,2,1,3,5,6,6,1,5,0,0,1,5,0,0,0.0385,0.1923,0.0,0.0,0.0385,0.1923,0.0,0.0
170,26,0.0106,0.0102,1.08,0.9231,1.0,0.8846,0.0714,0,0,0,0,0.0,13.0,0.1091,0.0397,0.0669,0,0.0042,0.0042,4,18,4.311,10.3674,0,0,4,0,0,0,0,0,1832,63,63,87,115,70.46,0,0,0,0,0.0769,2,4,1,2,2,1,0,3,1,1,0,1,1,0,0,0,1,0,1,4,0,1,2,1,0,1,1,2,2,5,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,26,0.0106,0.0102,1.0,1.0,1.0,0.9615,0.0,0,0,0,0,0.0,,0.1057,0.0446,0.0576,0,0.0041,0.0041,4,18,4.3126,10.3744,0,1,3,0,0,0,0,0,1860,61,61,91,100,71.54,0,0,0,0,0.0,2,4,1,2,2,1,0,3,1,1,0,0,1,0,0,0,1,0,1,4,1,1,2,0,0,2,1,1,2,6,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,26,0.0106,0.0102,1.0,1.0,1.0,0.9231,0.0,0,0,0,0,0.0,,0.0949,0.0352,0.0562,0,0.0037,0.0037,3,18,4.3138,10.3815,0,0,3,0,0,0,0,0,2365,77,77,106,150,90.96,0,0,0,0,0.0,2,4,1,2,2,1,0,3,1,1,0,0,1,0,0,0,1,0,1,4,1,1,2,0,0,1,1,1,2,6,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,26,0.0106,0.0102,1.04,0.9615,1.0,0.9231,0.037,0,0,0,0,0.0741,98.0,0.1104,0.0566,0.0526,0,0.0042,0.0042,8,18,4.3169,10.3885,0,4,3,0,0,0,1,0,3968,146,146,197,234,152.62,0,0,0,0,0.0385,2,4,1,2,2,1,0,3,1,1,0,0,1,1,0,0,5,0,1,4,1,1,2,1,0,1,0,1,4,6,5,0,1,0,0,0,1,0,0,0.0,0.0385,0.0,0.0,0.0,0.0385,0.0,0.0
174,26,0.0106,0.0102,1.19,0.8846,1.0,1.0,0.1613,0,0,0,0,0.0323,62.6,0.1312,0.0731,0.0559,0,0.005,0.005,13,19,4.322,10.3959,0,9,3,0,0,0,1,0,5436,163,179,227,356,198.5,43,66,124,55,0.1154,2,4,1,2,2,1,0,3,1,1,3,0,1,1,0,0,2,2,1,5,1,1,2,0,0,1,1,2,5,6,5,0,1,0,0,0,1,0,0,0.0,0.0385,0.0,0.0,0.0,0.0385,0.0,0.0
175,26,0.0106,0.0102,1.0,1.0,1.0,0.8846,0.0,0,0,0,0,0.0385,,0.0949,0.0373,0.0552,0,0.0036,0.0036,5,18,4.3239,10.403,0,1,3,0,0,0,1,0,3932,144,144,177,227,151.23,0,0,0,0,0.0,2,4,1,2,2,1,0,3,1,1,0,0,1,2,0,0,1,0,1,4,1,1,1,0,0,2,1,1,3,6,5,0,1,0,0,0,1,0,0,0.0,0.0385,0.0,0.0,0.0,0.0385,0.0,0.0
176,26,0.0106,0.0102,1.12,0.9231,1.0,0.9615,0.1034,0,0,0,0,0.0,22.33,0.0904,0.0354,0.0544,0,0.0035,0.0035,3,18,4.3251,10.41,0,0,3,0,0,0,0,0,1993,57,64,78,135,73.88,17,55,55,24,0.0769,2,4,1,2,2,1,0,3,1,1,0,0,1,0,0,0,1,0,1,4,1,1,1,0,0,2,1,1,2,6,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,26,0.0106,0.0102,1.0,0.9615,0.9615,0.88,0.0,0,0,0,0,0.0,,0.0496,0.0021,0.0457,0,0.0019,0.0019,2,17,4.3259,10.4167,0,0,2,0,0,0,0,0,2469,93,93,124,144,98.76,0,0,0,0,0.0,2,4,1,2,2,1,0,3,1,0,0,0,1,0,0,0,1,0,1,3,1,0,2,0,0,2,1,0,2,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,25,0.0106,0.0098,1.0,1.0,1.0,0.96,0.0,0,0,1,0,0.0,,0.0643,0.007,0.0556,0,0.0026,0.0026,4,18,4.3275,10.4237,0,2,2,0,0,0,0,0,1621,58,58,79,99,64.84,0,0,0,0,0.0,1,4,1,2,2,1,0,3,1,0,2,0,1,0,0,0,1,0,1,3,1,1,2,0,0,2,1,1,2,5,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,24,0.0102,0.0094,1.38,0.6667,0.9583,0.7826,0.2727,0,0,0,0,0.5625,44.22,0.2931,0.2264,0.0552,0,0.0122,0.0122,51,19,4.3474,10.4311,0,34,3,0,5,0,8,0,18129,494,598,800,896,695.22,172,286,990,237.67,0.2917,1,4,0,2,2,1,0,3,1,1,12,0,2,11,4,0,4,5,0,4,0,1,2,1,0,2,0,4,7,4,6,5,8,0,0,6,8,2,1,0.2083,0.3333,0.0,0.0,0.25,0.3333,0.0833,0.0417
180,24,0.0098,0.0094,1.0,1.0,1.0,0.9583,0.0,0,0,0,0,0.0,,0.0864,0.0341,0.0496,0,0.0036,0.0036,2,18,4.3482,10.4382,0,0,2,0,0,0,0,0,1578,58,58,75,108,65.75,0,0,0,0,0.0,2,4,0,2,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0,4,0,1,2,1,0,2,1,1,1,4,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,24,0.0098,0.0094,1.04,0.9583,1.0,0.9167,0.04,0,0,0,0,0.04,0.0,0.0805,0.0332,0.0445,0,0.0034,0.0034,3,16,4.3494,10.4444,0,0,2,0,0,0,1,0,3380,126,126,150,212,140.83,0,0,0,0,0.0417,2,4,0,2,2,1,0,2,1,1,0,0,1,1,0,0,0,0,0,4,0,1,2,1,0,1,1,1,2,4,6,0,1,0,0,0,1,0,0,0.0,0.0417,0.0,0.0,0.0,0.0417,0.0,0.0
182,23,0.0098,0.009,1.0,1.0,1.0,0.9565,0.0,0,0,0,0,0.0,,0.0884,0.0013,0.0867,0,0.0038,0.0038,1,17,4.3498,10.4511,0,0,1,0,0,0,0,0,1260,49,49,66,89,54.78,0,0,0,0,0.0,2,4,0,2,2,1,0,2,1,0,0,0,1,0,0,0,0,0,2,4,0,1,1,1,0,1,1,0,1,6,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,23,0.0098,0.009,1.0,1.0,1.0,0.9565,0.0,0,0,0,0,0.0,,0.0723,0.0021,0.0695,0,0.0031,0.0031,1,17,4.3502,10.4577,0,0,1,0,0,0,0,0,2267,83,83,129,163,98.57,0,0,0,0,0.0,2,4,0,2,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,4,0,2,2,0,0,1,1,0,1,5,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,23,0.0098,0.009,1.04,0.9565,1.0,0.8696,0.0417,0,0,1,0,0.1667,76.0,0.1372,0.0619,0.0732,0,0.006,0.006,11,16,4.3545,10.464,0,6,1,0,1,1,2,0,6039,226,232,302,346,255.09,172,172,172,172,0.0435,2,4,0,2,2,1,0,2,1,0,1,0,1,3,0,0,0,2,2,4,0,1,2,1,0,0,1,1,3,6,5,1,2,0,1,1,2,0,1,0.0435,0.087,0.0,0.0435,0.0435,0.087,0.0,0.0435
185,22,0.0094,0.0086,1.0,1.0,1.0,0.9545,0.0,0,0,0,0,0.0455,,0.0778,0.0085,0.0691,0,0.0035,0.0035,3,16,4.3556,10.4703,0,1,1,0,0,0,1,0,2301,87,87,123,145,104.59,0,0,0,0,0.0,2,4,0,2,2,1,0,1,1,0,0,0,1,1,0,0,0,1,1,4,0,1,2,1,0,0,1,0,3,5,5,0,1,0,0,0,1,0,0,0.0,0.0455,0.0,0.0,0.0,0.0455,0.0,0.0
186,22,0.0094,0.0086,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,,0.0639,0.0034,0.0605,0,0.0029,0.0029,2,15,4.3564,10.4761,0,0,2,0,0,0,0,0,1301,52,52,70,83,59.14,0,0,0,0,0.0,2,4,0,2,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,4,0,1,2,0,0,0,1,0,2,5,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,23,0.0094,0.009,1.04,0.9565,1.0,0.9565,0.0417,0,0,0,0,0.0,71.0,0.0803,0.0279,0.0497,0,0.0035,0.0035,3,14,4.3576,10.4816,0,2,1,0,0,0,0,0,2173,89,89,109,118,90.48,92,92,92,92,0.0435,2,4,0,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,4,0,0,2,1,0,0,1,0,1,5,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,23,0.0094,0.009,1.09,0.913,1.0,1.0,0.08,0,0,0,0,0.04,73.0,0.1447,0.0424,0.0998,0,0.0063,0.0063,4,17,4.3592,10.4883,0,2,1,0,0,0,1,0,1912,66,62,88,99,75.04,91,95,95,93,0.087,2,4,0,2,2,1,0,1,1,0,0,0,1,1,0,0,0,0,1,4,0,1,2,0,0,0,1,0,2,5,4,0,1,0,0,0,1,0,0,0.0,0.0435,0.0,0.0,0.0,0.0435,0.0,0.0
189,23,0.0094,0.009,1.57,0.6522,1.0,0.8696,0.3611,0,0,0,0,0.0833,58.23,0.2283,0.1405,0.0848,0,0.0099,0.0099,22,22,4.3678,10.4969,0,18,1,0,0,0,3,0,10264,264,342,420,582,372.13,144,199,263,131.15,0.3478,2,4,0,2,2,1,0,1,1,2,6,0,1,4,0,0,2,0,6,5,0,1,2,0,0,1,1,3,3,6,5,0,3,0,0,0,3,0,0,0.0,0.1304,0.0,0.0,0.0,0.1304,0.0,0.0
190,23,0.0094,0.009,1.04,0.9565,1.0,0.9565,0.0417,0,0,0,0,0.0,67.0,0.0697,0.0011,0.0647,0,0.003,0.003,1,17,4.3682,10.5035,0,0,1,0,0,0,0,0,2033,77,77,101,120,84.43,91,91,91,91,0.0435,2,4,0,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,4,0,1,2,0,0,1,1,0,1,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,23,0.0094,0.009,1.0,1.0,1.0,0.8696,0.0,0,0,0,0,0.0,,0.1003,0.0013,0.0972,0,0.0044,0.0044,1,15,4.3685,10.5094,0,0,1,0,0,0,0,0,837,36,36,42,48,36.39,0,0,0,0,0.0,2,4,0,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,1,1,0,1,5,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,24,0.0094,0.0094,1.0,0.9583,1.0,0.9583,0.0417,0,0,0,0,0.04,72.0,0.1106,0.0032,0.1022,0,0.0046,0.0046,2,18,4.3693,10.5164,0,1,1,0,0,0,0,0,3759,144,144,176,233,156.63,0,0,0,0,0.0417,2,4,0,2,2,2,0,1,1,0,0,0,1,0,1,0,0,0,2,4,0,1,1,1,0,1,1,0,2,6,5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0
193,24,0.0094,0.0094,1.21,0.8333,1.0,0.8333,0.1724,0,0,0,0,0.0345,59.2,0.1337,0.0533,0.0691,0,0.0056,0.0056,13,18,4.3744,10.5235,0,11,1,0,0,0,1,0,7044,219,246,284,456,262.08,128,214,288,150.8,0.1667,2,4,0,2,2,2,0,1,1,0,3,0,1,2,1,0,0,4,4,4,0,1,2,1,0,1,1,1,5,5,6,0,1,0,0,0,1,0,0,0.0,0.0417,0.0,0.0,0.0,0.0417,0.0,0.0
194,24,0.0094,0.0094,1.0,1.0,1.0,0.875,0.0,0,0,0,0,0.0,,0.069,0.0011,0.0657,0,0.0029,0.0029,1,17,4.3748,10.5301,0,0,1,0,0,0,0,0,1531,59,59,70,101,63.79,0,0,0,0,0.0,2,4,0,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,4,0,1,2,1,0,1,1,0,1,5,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,24,0.0094,0.0094,1.04,1.0,1.0,0.9167,0.0,0,0,0,0,0.0,,0.0684,0.0017,0.0659,0,0.0029,0.0029,1,17,4.3752,10.5368,0,0,1,0,0,0,0,0,1267,46,46,58,71,50.68,0,0,0,0,0.0417,2,4,0,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,2,1,0,1,1,0,1,4,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,24,0.0094,0.0094,1.0,1.0,1.0,0.9167,0.0,0,0,0,0,0.0,,0.0656,0.0014,0.0635,0,0.0027,0.0027,1,16,4.3756,10.543,0,0,1,0,0,0,0,0,1963,74,74,85,108,81.79,0,0,0,0,0.0,2,4,0,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,2,3,0,0,2,0,0,1,1,0,1,5,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,24,0.0094,0.0094,1.0,1.0,1.0,0.9583,0.0,0,0,0,0,0.0,,0.0729,0.0149,0.0568,0,0.003,0.003,2,15,4.3764,10.5489,0,1,1,0,0,0,0,0,2134,78,78,106,134,88.92,0,0,0,0,0.0,2,4,0,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,24,0.0094,0.0094,1.13,0.875,1.0,0.9583,0.1111,0,0,0,0,0.037,69.0,0.101,0.0447,0.0552,0,0.0042,0.0042,10,15,4.3803,10.5548,0,8,1,0,0,0,1,0,5328,184,184,229,275,209.33,99,205,205,101.33,0.125,2,4,0,2,2,2,0,1,1,1,0,0,1,6,0,0,0,0,2,3,0,0,1,0,0,1,1,1,3,5,3,0,1,0,0,0,1,0,0,0.0,0.0417,0.0,0.0,0.0,0.0417,0.0,0.0
199,24,0.0094,0.0094,2.33,0.5417,0.9167,0.8636,0.5714,0,0,0,2,0.1481,49.44,0.3579,0.2366,0.1062,0,0.0149,0.0149,58,28,4.403,10.5657,0,50,1,0,0,0,7,0,20447,299,491,619,838,580.5,127,295,563,239.88,0.4583,2,4,0,2,2,2,0,1,1,1,4,0,1,19,3,0,4,5,6,4,0,1,3,1,0,0,1,3,6,5,5,0,5,0,0,0,5,0,1,0.0,0.2083,0.0,0.0,0.0,0.2083,0.0,0.0417
