level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
96,56,0.0235,0.0219,1.0,1.0,1.0,0.9286,0.0,0,0,0,0,0.0179,,0.3229,0.0517,0.2628,0,0.0058,0.0058,7,39,3.6843,9.5876,0,0,6,0,0,1,0,0,3759,63,63,76,92,67.13,0,0,0,0,0.0,3,8,2,7,4,1,0,3,5,0,0,1,1,1,0,0,1,1,3,8,1,4,4,0,0,2,3,1,4,12,13,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.0179
97,56,0.0235,0.0219,1.02,0.9821,1.0,0.8929,0.0175,0,0,1,0,0.0526,61.0,0.313,0.0488,0.2568,0,0.0056,0.0056,9,38,3.6878,9.6025,0,0,7,0,0,0,2,0,5104,81,81,105,135,90.52,35,35,35,35,0.0179,3,8,2,7,4,1,0,3,5,0,0,1,1,2,0,0,1,1,3,8,1,4,4,1,0,2,3,1,5,12,14,0,2,0,0,0,2,0,1,0.0,0.0357,0.0,0.0,0.0,0.0357,0.0,0.0179
98,55,0.0231,0.0215,1.0,1.0,1.0,0.9636,0.0,0,0,0,0,0.0,,0.2788,0.0484,0.2265,0,0.0051,0.0051,6,37,3.6901,9.617,0,0,6,0,0,0,0,0,2184,35,35,46,59,39.71,0,0,0,0,0.0,3,8,2,7,4,1,0,3,5,0,0,1,1,0,0,0,1,1,3,8,1,4,4,0,0,2,3,1,3,12,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,56,0.0231,0.0219,1.34,0.8393,1.0,0.8036,0.2667,0,0,0,0,0.0263,56.5,1.0771,0.8418,0.1995,0,0.0192,0.0192,40,44,3.7058,9.6342,0,32,5,0,0,0,1,0,15376,178,214,247,351,236.2,78,150,178,107.45,0.1607,3,8,2,8,4,1,0,3,5,0,4,2,7,6,0,0,1,10,3,9,1,5,7,1,0,2,3,3,10,12,13,0,1,0,0,0,1,0,1,0.0,0.0179,0.0,0.0,0.0,0.0179,0.0,0.0179
100,56,0.0231,0.0219,1.88,0.5714,1.0,0.8929,0.4762,0,0,1,0,0.0755,45.46,1.0987,0.7483,0.3088,0,0.0196,0.0196,77,57,3.7359,9.6565,0,62,6,2,0,0,7,0,28746,241,331,394,531,393.2,129,204,248,134.54,0.4286,3,8,2,8,4,1,0,3,5,3,12,2,7,11,1,0,2,12,2,8,1,6,6,1,0,4,3,7,12,11,14,0,6,0,0,0,8,0,0,0.0,0.1071,0.0,0.0,0.0,0.1429,0.0,0.0
101,54,0.0227,0.0211,1.06,0.963,1.0,0.9444,0.0351,0,0,0,0,0.0526,54.0,0.4373,0.2041,0.219,0,0.0081,0.0081,21,36,3.7441,9.6706,0,13,6,0,0,0,2,0,9710,153,162,201,250,172.65,87,127,127,107,0.0556,3,8,2,8,4,1,0,3,5,0,3,2,1,3,0,0,1,5,3,6,1,4,4,0,0,2,2,3,7,10,12,0,3,0,0,0,3,0,0,0.0,0.0556,0.0,0.0,0.0,0.0556,0.0,0.0
102,54,0.0227,0.0211,1.17,0.8519,1.0,0.7963,0.1429,0,0,0,0,0.0476,35.56,0.4244,0.2127,0.2004,0,0.0079,0.0079,16,35,3.7504,9.6843,0,8,6,0,0,0,2,0,9854,143,155,200,262,174.63,18,106,139,47.11,0.1481,3,8,2,8,4,1,0,3,5,0,3,1,4,2,0,0,2,1,3,7,1,4,4,0,0,1,3,3,8,11,10,0,2,0,0,0,2,1,0,0.0,0.037,0.0,0.0,0.0,0.037,0.0185,0.0
103,54,0.0227,0.0211,1.69,0.6852,0.963,0.9808,0.4396,0,0,0,2,0.4565,33.55,1.2839,0.9231,0.32,0,0.0238,0.0238,91,40,3.786,9.6999,0,54,8,0,9,2,17,0,30406,309,440,564,708,475.27,78,185,315,142.3,0.2963,3,8,2,8,4,1,0,3,5,3,17,2,10,7,5,0,7,17,2,7,3,5,4,1,0,1,4,7,14,10,14,10,15,0,2,10,18,3,2,0.1852,0.2778,0.0,0.037,0.1852,0.3333,0.0556,0.037
104,52,0.0219,0.0203,1.02,0.9808,1.0,0.9615,0.0189,0,0,0,0,0.0,67.0,0.3928,0.1056,0.2825,0,0.0076,0.0076,8,38,3.7891,9.7148,0,0,7,0,0,0,0,0,4574,80,80,97,128,86.67,67,67,67,67,0.0192,3,8,2,6,4,1,0,3,5,1,1,1,0,0,0,0,1,1,2,7,2,4,4,1,0,2,3,3,2,10,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,53,0.0219,0.0207,1.08,0.9057,0.9811,0.9231,0.0702,1,0,1,0,0.0536,73.75,0.3168,0.1504,0.1651,0,0.006,0.006,14,34,3.7946,9.7281,0,5,6,0,1,0,2,0,7909,123,123,170,197,145.71,48,82,202,83,0.0755,3,8,2,6,4,1,0,3,5,2,1,1,0,6,0,0,1,0,3,7,1,4,3,0,0,2,3,4,3,10,11,1,2,0,0,1,2,0,0,0.0189,0.0377,0.0,0.0,0.0189,0.0377,0.0,0.0
106,52,0.0215,0.0203,1.13,0.9038,1.0,0.9038,0.1017,0,0,0,0,0.0,26.5,0.2694,0.086,0.1781,0,0.0052,0.0052,8,34,3.7977,9.7414,0,1,7,0,0,0,0,0,3571,54,56,72,92,64.19,21,54,54,28.17,0.1154,3,8,2,6,3,1,0,3,5,1,1,1,1,0,0,0,1,1,1,7,1,3,4,0,0,2,4,3,3,9,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,52,0.0215,0.0203,1.04,0.9808,1.0,0.9615,0.0185,0,0,0,0,0.0,0.0,0.2799,0.0926,0.1793,0,0.0054,0.0054,8,32,3.8009,9.7539,0,0,8,0,0,0,0,0,1871,32,32,41,49,35.3,0,0,0,0,0.0385,3,9,2,6,3,1,0,3,5,1,2,1,1,0,0,0,1,0,2,7,1,3,3,0,0,1,4,3,2,10,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,52,0.0215,0.0203,1.19,0.8846,1.0,0.9231,0.1613,0,0,0,0,0.0484,48.6,0.6752,0.5091,0.1321,0,0.013,0.013,26,33,3.811,9.7668,0,14,9,0,1,0,2,0,11271,157,167,231,289,202.92,86,105,124,71.9,0.1154,3,9,2,6,3,1,0,3,5,1,2,5,1,3,0,0,1,8,2,7,1,3,3,0,0,2,5,4,8,10,12,1,2,0,0,1,2,0,0,0.0192,0.0385,0.0,0.0,0.0192,0.0385,0.0,0.0
